"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Mexico",744876.878503166,744751.231701482,748188.572763868,751238.476241852,746019.567865482,745682.270458948,744316.486902489,744602.917898812,744530.340169065,744852.926006652,744616.451627615,744989.596974932,744713.996755759,745251.035257601,742849.9578494,745251.043214717,744601.598727742,744671.535940471,745022.316017703,744924.341757169,744928.385807076,744591.922183441,744817.512711435,744765.640216594,749436.68269542,749528.558573427,742949.616938966
"Netherlan",1968104.51086976,1967537.2571501,1962913.63595922,1965214.29396125,1969659.71682468,1969093.12030468,1962400.66671872,1966976.35675086,1963840.56168736,1972931.8432393,1968903.75443086,1964049.5445926,1962514.00660976,1968983.40001929,1968990.53174154,1959227.54791605,1962297.50141813,1964108.69577014,1965416.85130699,1969051.87243722,1963382.97666159,1965510.2762687,1970473.58200072,1962885.15495129,1991654.92022943,1963765.11253021,1963726.1604743
"New Zeala",1926114.19978931,1925232.64862082,1921293.44534584,1924244.99265421,1930702.31456273,1929044.56788539,1922546.57026822,1927289.64609325,1924026.32731316,1932670.2836048,1927627.58382931,1923351.7572148,1920998.28681444,1929386.14476548,1929861.89550441,1922365.98533627,1919437.76380123,1924053.54352912,1924046.22760188,1929977.84543431,1922049.15781381,1923948.17531613,1931477.46749533,1923221.37123238,1954772.89593563,1922538.65824761,1921038.67814926
"Norway",727703.275311769,727460.013201631,730151.676401834,733246.37276074,729999.945967208,727461.539300276,726077.493164637,727289.451004405,726773.98749284,728578.624464099,728352.535350719,728287.867556085,726836.59547101,729056.244613266,728457.123704992,726970.297611639,726835.940747377,725017.687747692,728324.768444216,728758.809096212,727744.887676894,727051.521448172,728723.1429215,726142.105389361,736352.606603943,731481.842013768,725728.78059058
"Philippin",2230637.06243186,2230912.52107041,2223955.4700301,2226399.49715268,2230783.73277796,2236062.86787668,2227506.95680003,2232449.2426804,2229645.85901904,2237633.48030628,2229244.90352984,2223270.42959565,2225155.91698691,2227603.76262686,2231449.0416238,2226319.38709144,2225397.61072635,2230082.53882915,2220567.9492428,2230844.87823712,2222844.81863135,2228806.06757921,2232896.28110778,2228479.04716422,2247502.18218955,2225191.09942632,2226326.7208922
"Romania",627346.707835214,627056.6878523,629880.60203439,632596.136116296,627870.827139896,627421.745535154,626476.500083459,626796.304332469,626947.714670573,627524.480741061,626725.697897847,626899.83390355,626820.006240096,626786.166270067,626927.972783903,627420.541097807,626711.909135017,626762.50699857,626866.585990816,624399.258670079,626825.405501519,626708.791697641,627495.460406359,626580.692959461,632571.169744891,631201.239330518,625591.172974151
"Singapore",2634136.61551865,2633882.50141489,2622937.27982957,2624746.94515289,2633626.72041811,2639107.58917698,2627770.12898638,2634290.1312863,2630210.1571928,2641082.83509732,2630063.52754173,2623982.46802756,2625607.62067803,2631129.54884445,2634421.61330895,2626483.89685167,2625235.4351444,2632189.98380789,2624634.54733722,2634091.33451487,2619845.00658961,2629263.51925421,2637276.376923,2628802.2431002,2660308.49903351,2623700.73177828,2627920.28723512
"South Afr",927452.048833575,927041.259170213,929667.92066101,932892.366618128,929831.795525909,928483.486913581,926882.954956548,927889.740630584,927112.362437218,929047.821316466,928147.122801418,927422.297640102,926663.844035982,928517.995560791,928630.342780259,927340.103982544,926539.63546114,926984.092103579,927603.010597379,928993.687684886,926934.831286198,925505.563919885,929161.745929045,926867.551176479,938239.991986425,931061.987676379,925167.895392283
"South Kor",734512.752196292,734770.811092867,737475.66063613,740340.040376933,734599.879454151,735075.545822717,733874.59325211,734191.799383029,734139.224277049,735234.492865164,733609.873917177,734116.51478962,734209.066253931,734070.734951535,734161.687690213,734583.994896307,734405.201197675,734235.24188103,734204.555121969,735025.711576511,734237.339910414,734070.524076717,731689.35448443,734263.55145601,737000.868482861,738591.473269148,732985.352357169
"Sweden",1150503.90705051,1150508.75400881,1150186.86968657,1153051.40779466,1152255.75544469,1151141.95652454,1147787.14131888,1150359.95649514,1148629.01783963,1152851.10120894,1151154.27130233,1149529.37898756,1148165.71598168,1151776.09756301,1151602.56643617,1148132.37629968,1148097.6912207,1147968.31892651,1150362.70263284,1151696.91807987,1149243.57270618,1149673.33655038,1152601.31228992,1146095.98747454,1165431.09979854,1151247.07863931,1147830.38711716
"Thailand",845992.338097992,846060.583668193,847592.523464948,850481.588313264,845236.951961423,847309.83930847,845262.444927517,846336.212645606,845556.853289354,847218.152841035,844417.765949344,844450.33440982,845135.913511822,844620.082720092,845532.280254824,845536.978713877,845092.540451197,846040.388411723,844358.517092132,845741.143992604,844574.146650644,845583.098646722,844924.271401385,845918.782845891,842436.246713883,848961.728333223,844764.694465612
"UK",15524957.0850685,15518363.9648132,15420158.8638989,15412687.8936293,15541677.92526,15553975.5570628,15482274.5288379,15533554.737383,15494417.5075571,15591681.0525449,15530579.5757942,15475291.3533824,15458578.7419639,15542814.9478777,15549202.1979714,15467086.1666795,15458632.8564325,15501085.2986371,15485385.6164348,15544928.259145,15464373.5614039,15498951.8311644,15572412.877682,15484721.2410352,15772826.3701406,15410009.4950654,15485767.507227
"USA",213822239.898873,213792492.361323,212390509.933974,212166096.337932,214494839.334709,214448385.746231,213411926.258341,214136299.537145,213604613.077794,214988691.644915,214115601.252021,213236932.329149,213085502.654995,214455093.591258,214281766.239551,213147318.133486,213037732.481643,213699083.057289,213333582.418515,214133466.098676,213048694.054403,213602413.709551,214580593.610419,213452482.807159,217223238.153914,212306113.853287,213281788.849659
